category,source,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1A,FUEL,EM,GHGa,GgCO2eq,LV,18907.58475,17362.93084,14126.01952,12036.22688,10448.23325,9254.433676,9340.357445,8786.884313,8378.774842,7741.547491,7193.680824,7617.351631,7644.951313,7932.801361,7958.333227,7994.413232,8434.192238,8704.94872,8225.899082,7573.239714,8408.782559,7487.685565,7159.482489
1A,FUEL,EM,GHGa,GgCO2eq,MT,1878.100989,2054.361382,2159.815664,2156.11826,2267.738089,2226.043968,2278.68194,2268.687522,2272.739447,2363.352752,2360.559608,2480.697641,2500.767353,2680.348971,2634.627721,2722.43379,2689.087821,2775.927283,2734.827761,2661.426934,2659.912083,2681.653833,2802.91124
1A,FUEL,EM,GHGa,GgCO2eq,NL,150919.9778,156045.6375,154801.3097,159597.0667,158850.8167,163044.617,170767.4544,164132.9688,166223.7594,160836.9113,163191.4588,169593.7072,168995.3947,172537.74,173864.1836,168553.7464,165395.3658,165392.1184,169066.6313,163685.7962,175431.784,162094.7866,160120.6905
1A,FUEL,EM,GHGa,GgCO2eq,PL,355012.8633,357349.2123,348824.7855,350854.6572,344825.4187,344428.0219,359414.0037,347920.7967,323056.3485,313758.0189,300279.0327,299714.3555,289178.3544,299087.7957,302463.7761,300095.7355,311695.4516,311281.4365,306014.6078,296780.5632,315678.4218,309716.2076,302927.3845
1A,FUEL,EM,GHGa,GgCO2eq,PT,41251.66363,42825.62666,47384.30429,46124.82077,46568.09802,49977.21504,47400.9388,49842.14648,54284.20478,61734.0556,60350.83963,60306.03897,63910.58647,58732.4383,61001.96638,63406.83622,59099.52343,56021.16855,53988.79441,52659.32416,48033.90892,47305.90354,46520.97462
1A,FUEL,EM,GHGa,GgCO2eq,RO,156333.7588,130435.7598,111038.4504,106739.1113,103983.0663,107531.5645,112183.0611,102504.7888,89309.81517,78646.89966,80517.50087,83268.07279,83455.34021,90034.14222,87405.56327,84690.18207,88491.64862,86332.49871,86235.29845,73924.43242,71026.55432,76473.47004,75042.4376
1A,FUEL,EM,GHGa,GgCO2eq,SE,53064.57307,53675.84074,53704.87983,53486.43962,55638.20875,54752.01446,58961.18618,53806.39775,54279.43841,51264.97323,49740.47501,50653.75338,51467.55077,52443.34526,51235.19353,48790.66067,48165.67361,46862.26666,45044.12776,43242.17239,47422.86334,43652.11997,41189.27386
1A,FUEL,EM,GHGa,GgCO2eq,SI,13956.69144,13115.64817,13070.79212,13615.8979,13646.77677,14506.49714,15240.98815,15534.01046,15241.76435,14584.42483,14684.05472,15526.00339,15544.68678,15250.87976,15585.07543,15826.81352,15983.37879,16089.31881,17131.3782,15519.38451,15594.65726,15633.98017,15136.00984
1A,FUEL,EM,GHGa,GgCO2eq,SK,54221.56307,47693.16954,43507.97621,39608.56247,37049.56703,37360.0745,37444.74504,36619.7345,35827.14113,35196.64487,34573.95933,36743.64388,33600.24094,34972.70229,34349.30298,34366.97935,33389.59295,31731.74171,32458.6196,29858.15306,30316.49424,30188.13299,28200.50161
1B,-999,EM,GHGa,GgCO2eq,AT,311.2470062,318.3863262,345.3563371,339.5135817,346.8054383,353.4627404,296.3716642,347.2841739,364.7003927,381.7759734,375.8974471,390.0648464,371.641731,435.6151873,428.7756205,425.1773237,457.9673354,465.807874,437.6567229,499.6894433,479.8650855,473.8038443,475.6047416
