category,sourcerow5type_option,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4D,SOILSINORGFERT,EM,N2O,kt,DK,6.292,6.205571429,5.806428571,5.231285714,5.126,4.964142857,4.570421429,4.519428571,4.450285714,4.12852,3.951577143,3.672161429,3.312618571,3.161934286,3.248708571,3.241102857,3.013292857,3.057968571,3.463444286,3.147225714,2.98496,3.095698571,2.938932857,3.041531429
4D,SOILSINORGFERT,IEF,N2O,kgN2O-N/kgN,BE,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
4D,SOILSINORGFERT,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,SOILSINORGFERT,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILSINORGFERT,AD,-999,kg N/year,BE,200467263.1,197546014.6,187384396.4,176576986.5,181936617.4,190435059.9,172757199,171253753.2,169552732.1,164314022.2,159479210.6,153798405.3,158727998.9,150764304.5,149427682.8,142980313.5,142127615.6,137497456.6,130252479.8,138574345.1,143247326.4,141324750,136034103.7,136034103.7
4D,SOILSINORGFERT,AD,-999,kg N/year,DK,400400000,394900000,369500000,332900000,326200000,315900000,290845000,287600000,283200000,262724000,251464000,233683000,210803000,201214000,206736000,206252000,191755000,194598000,220401000,200278000,189952000,196999000,187023000,193552000
4D,SOILS,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILS,INFOEF,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILS,EM,N2O,kt,BE,12.41254822,12.41040565,12.22837898,12.14804854,12.17267802,12.40899586,12.17765548,12.12911282,11.97628457,12.03513586,11.3895897,11.17305631,11.11453609,10.68475269,10.69497827,10.39531357,10.12657583,10.09365209,9.795684704,10.01070336,10.05016833,10.02863657,9.68847737,9.68847737
4D,SOILS,EM,N2O,kt,DK,15.10015227,14.74905046,14.8389928,13.35989586,13.51818664,13.25328284,12.4779895,12.80921498,12.53476379,12.43427133,12.01027759,11.79241453,11.97994212,11.24321011,11.20464509,11.2260473,11.25546897,11.29536146,11.55722172,11.00814985,10.86646681,10.97439145,10.65502015,10.99631846
4D,SOILS,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILS,-999,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILSORGFERT,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILSORGFERT,EM,N2O,kt,BE,3.138966105,3.193819444,3.188295384,3.260587833,3.269337817,3.333659565,3.396914278,3.385157772,3.389779615,3.399479395,3.1649236,3.020569406,2.929365567,2.768762471,2.772793148,2.685337055,2.631249945,2.627772702,2.537368882,2.537027533,2.555998974,2.47672356,2.465930441,2.465930441
4D,SOILSORGFERT,EM,N2O,kt,DK,3.436330341,3.430844247,3.457006409,3.52604006,3.393569498,3.290153904,3.289349196,3.253576834,3.314525472,3.276372455,3.23145608,3.337970344,3.397194127,3.362675076,3.400928365,3.407071257,3.312310503,3.48672049,3.435468916,3.353476655,3.362950295,3.366720681,3.357931186,3.386129696
4D,SOILSORGFERT,IEF,N2O,kgN2O-N/kgN,BE,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
4D,SOILSORGFERT,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,SOILSORGFERT,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILSORGFERT,AD,-999,kg N/year,BE,159801910.8,162594444.4,162313219.5,165993562.4,166439016.1,169713577.9,172933817.8,172335304.8,172570598.6,173064405.6,161123383.3,153774442.5,149131337.9,140955180.4,141160378.5,136708068.2,133954542.7,133777519.4,129175143.1,129157765.3,130123584.1,126087744.9,125538277,125538277
4D,SOILSORGFERT,AD,-999,kg N/year,DK,218675567.1,218326452.1,219991317,224384367.5,215954422.6,209373430.2,209322221.5,207045798.6,210924348.2,208496428.9,205638114.2,212416294.6,216185080.8,213988413.9,216422714.1,216813625.4,210783395.7,221882213,218620749.2,213403059.9,214005927.8,214245861.5,213686530,215480980.7
4D,FARMATMD,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARMATMD,EM,N2O,kt,BE,1.5785744,1.455501804,1.456496928,1.481528785,1.489607727,1.531482119,1.534248739,1.530182198,1.538154505,1.538296535,1.10926673,1.067554326,1.055549764,0.994574149,0.927491238,0.895383246,0.886391431,0.846295556,0.813425505,0.815008596,0.812096351,0.787254592,0.783950012,0.783950012
4D,FARMATMD,EM,N2O,kt,DK,1.048566764,1.008872411,0.962695483,0.953599677,0.926756813,0.867082784,0.8078153,0.774902494,0.755483879,0.697353389,0.675661177,0.625907189,0.586311997,0.582851013,0.555071553,0.545491649,0.525553881,0.54489069,0.549421573,0.524717845,0.526274507,0.517771779,0.505689501,0.510102093
4D,FARMATMD,IEF,N2O,kgN2O-N/kgN,BE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
