category,sourcerow5type_option,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4D,SEWAGE,IEF,N2O,kgN2O-N/kgN,BE,0,0,0,0,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
4D,SEWAGE,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,SEWAGE,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SEWAGE,AD,-999,kg N/year,BE,0,0,0,0,361912.4245,385061.6317,443904.8301,532275.0233,469938.4548,342476.3869,386738.9538,373893.2967,316178.3795,418113.8547,348231.419,331669.0627,292602.6948,309828.4049,487208.0362,422146.4052,510349.5383,555135.6,555135.6,555135.6
4D,SEWAGE,AD,-999,kg N/year,DK,3115000,3207000,3847000,4935000,4446000,4635000,4545000,3973000,3750000,3669000,3625000,3518000,3600000,3151000,2675000,2173000,2283000,2167000,2394000,2979000,2692000,2592000,2470000,2457000
4D,NGRAZ,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,NGRAZ,EM,N2O,kt,BE,3.199122881,3.189096715,3.141472116,3.180957387,3.161130243,3.186640138,3.139414692,3.090728125,3.046319687,3.045977925,2.832485323,2.833889001,2.72845869,2.62566816,2.610785477,2.56969602,2.537667164,2.534539928,2.520234544,2.51641738,2.509486516,2.456317481,2.429383612,2.429383612
4D,NGRAZ,EM,N2O,kt,DK,1.003192805,1.025053677,1.027766938,1.050387202,1.029003858,1.04883916,1.054286912,1.029529337,1.025218897,1.004054235,1.007648301,1.022474347,0.98125587,0.868821695,0.791824049,0.734375276,0.688655406,0.648333039,0.650045766,0.621100391,0.61366376,0.599165092,0.610065905,0.619914583
4D,NGRAZ,IEF,N2O,kgN2O-N/kgN,BE,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
4D,NGRAZ,IEF,N2O,kgN2O-N/kgN,DK,0.01866585,0.018641974,0.018666758,0.018753696,0.018768879,0.01879554,0.01877453,0.018765733,0.018768383,0.018757876,0.018667886,0.018631048,0.018559317,0.018342683,0.01814825,0.017974052,0.01780899,0.017666434,0.017655161,0.01765859,0.017752807,0.01790075,0.017954464,0.018028895
4D,NGRAZ,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,NGRAZ,NEXC,-999,kg N/year,BE,101790273.5,101471259.1,99955930.95,101212280.5,100581416.8,101393095.3,99890467.46,98341349.44,96928353.67,96917479.42,90124533,90169195.48,86814594.69,83543986.91,83070446.98,81763055.19,80743955.22,80644452.25,80189280.94,80067825.73,79847298.25,78155556.21,77298569.46,77298569.46
4D,NGRAZ,NEXC,-999,kg N/year,DK,34201250.1,34991299.77,35037338.6,35642480.11,34888638.03,35510716.31,35735107.09,34912306.14,34761226.52,34062683.94,34349402.99,34923720.3,33645394.35,30142075.08,27765103.04,26000242.49,24607530.33,23353641.82,23430286.47,22382630.84,21997270.36,21300050.57,21622687.52,21881047.32
3,FARM,-999,-999,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,INFOEF,CH4,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,INFOEF,CO2,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,INFOEF,CO2,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,INFOEF,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,EM,GHGs,ktCO2eq,BE,15668.07106,15521.99182,15443.29777,15575.93134,15577.68351,15777.55318,15538.19104,15489.76027,15513.93372,15561.81726,14883.84608,14756.53372,14499.46245,13999.31009,13944.12697,13724.08562,13590.92397,13682.38892,13537.80128,13647.2516,13731.03152,13574.46444,13390.56681,13390.56681
3,FARM,EM,GHGs,ktCO2eq,DK,12578.69165,12416.20114,12417.87713,12075.60521,12075.60694,11983.37538,11514.00951,11598.91394,11504.89003,11142.32959,10976.80566,10980.61693,11075.99544,10686.84726,10639.20812,10534.74007,10374.14668,10487.88448,10478.57737,10122.72771,10151.76258,10148.59961,10101.29347,10215.18553
3,FARM,EM,CH4,kt,BE,272.0164453,268.7490757,268.1128021,272.5509406,272.0060856,275.9469193,272.3330113,270.6647596,270.7083149,272.1102916,262.8782462,260.6631017,252.589466,244.6123672,242.0692646,238.8995086,237.0589924,242.1360553,240.7665719,241.9978661,244.138262,240.80238,238.2969975,238.2969975
3,FARM,EM,CH4,kt,DK,221.1983209,224.9555038,227.1867671,233.0500528,228.1989557,228.3398705,229.9512633,226.8196104,230.292975,218.237544,219.2343768,225.4819255,223.5493379,222.4989487,220.46256,216.9952869,213.579949,215.2752891,214.0173358,212.3922011,215.9147965,214.449666,216.3677018,215.4929601
3,FARM,EM,CO2,kt,BE,64.09,63.56,63.03,62.5,61.97,61.44,60.9,60.38,59.84,59.32,58.78,58.25,57.73,57.19,56.66,56.13,55.6,54.78,53.93,53.08,52.25,51.4,50.55,50.55
3,FARM,EM,CO2,kt,DK,618.5729984,511.6305229,403.4635273,349.9628976,412.2042159,537.0749623,417.7831534,483.217054,263.9245317,273.7686818,268.3533082,206.7352939,236.5797919,228.6455941,159.702166,221.789367,196.0144295,194.00888,231.2377516,186.8082501,156.1898217,165.0479022,192.0364478,246.4607552
3,FARM,EM,N2O,kt,BE,29.54218097,29.32786887,29.11895207,29.19348264,29.24685022,29.5887255,29.09048912,29.06966873,29.1489458,29.19375827,27.69499975,27.45538984,27.271798,26.26446613,26.29441395,25.8237178,25.53305087,25.41680381,25.0493523,25.31619109,25.42055358,25.17786892,24.77379824,24.77379824
3,FARM,EM,N2O,kt,DK,21.57772023,21.07611753,21.25753163,19.79661408,19.99472762,19.25437467,17.94444556,18.27250547,18.40148029,18.16316212,17.54225818,17.23769631,17.61973893,16.42861728,16.67094617,16.40291453,16.23702524,16.48319924,16.43257121,15.52387395,15.42853305,15.51110756,15.10088749,15.37382808
3,FARM,EM,NOx,kt,BE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,FARM,EM,NOx,kt,DK,16.70361166,16.5260237,15.54467646,14.20623986,13.88411262,13.48416382,12.47362023,12.3152625,12.17180288,11.29334268,10.86187847,10.23896788,9.251986725,8.809651997,8.960023426,8.842416286,8.270467782,8.346273611,9.375184835,8.622484706,8.143004858,8.405636791,8.046354372,8.326796066
3,FARM,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,-999,CH4,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,-999,CO2,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,-999,CO2,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FARM,-999,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,CATT,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,CATT,EM,CH4,kt,BE,16.66878491,16.36845986,16.110672,15.93092747,15.93733549,16.07704209,16.13985084,15.89792617,15.83985376,15.82756048,15.2805768,15.21779598,14.78785901,14.35787718,14.17617435,13.89919977,13.46369541,14.0019743,13.86194478,13.96902831,14.09484663,13.9070884,13.70350952,13.70350952
CH4EM,CATT,EM,CH4,kt,DK,33.6904946,34.74398231,35.30676636,36.18112139,35.47991434,36.15828401,36.9930071,36.92200179,37.21059174,34.4865588,36.64203474,37.56137031,38.08172287,38.28571565,38.59273089,38.21540396,37.68140093,36.92903365,37.16195608,37.25199923,37.66749588,37.43725663,38.13678245,36.88100478
CH4EM,CATT,IEF,CH4,kg/head/year,BE,5.130782913,5.014591739,5.000879076,4.929768801,4.900827897,4.892240473,4.977441201,5.035618559,5.126315576,5.13020692,5.104041628,5.111368391,5.189126665,5.241995167,5.24775276,5.217219532,5.120383615,5.263577571,5.260923719,5.309340304,5.364476931,5.411975462,5.477597971,5.477597971
CH4EM,CATT,IEF,CH4,kg/head/year,DK,15.04646498,15.63979756,16.12325412,16.47972523,16.85583492,17.29752729,17.67247999,18.42221292,18.81825263,18.27531378,19.61643789,19.69749522,21.20223887,22.20222444,23.44973574,24.33970387,24.55193468,23.57847608,23.75487239,24.1842705,23.97600069,23.87624301,23.73423286,22.84157051
CH4EM,CATT,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,CATT,AD,-999,1000s,BE,3248.78,3264.166,3221.568,3231.577,3251.968,3286.233,3242.6,3157.095,3089.91,3085.17,2993.819,2977.245,2849.778,2739.01,2701.38,2664.101,2629.431,2660.163,2634.888,2631.029,2627.441,2569.688,2501.737,2501.737
CH4EM,CATT,AD,-999,1000s,DK,2239.097,2221.511,2189.804,2195.493,2104.904,2090.373,2093.255,2004.211,1977.367,1887.057,1867.925,1906.911,1796.118,1724.409,1645.764,1570.085,1534.763,1566.218,1564.393,1540.34,1571.05,1567.971,1606.826,1614.644
CH4EM,CATT,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,CATT,EM,CH4,kt,BE,16.66878491,16.36845986,16.110672,15.93092747,15.93733549,16.07704209,16.13985084,15.89792617,15.83985376,15.82756048,15.2805768,15.21779598,14.78785901,14.35787718,14.17617435,13.89919977,13.46369541,14.0019743,13.86194478,13.96902831,14.09484663,13.9070884,13.70350952,13.70350952
CH4EM,CATT,EM,CH4,kt,DK,33.6904946,34.74398231,35.30676636,36.18112139,35.47991434,36.15828401,36.9930071,36.92200179,37.21059174,34.4865588,36.64203474,37.56137031,38.08172287,38.28571565,38.59273089,38.21540396,37.68140093,36.92903365,37.16195608,37.25199923,37.66749588,37.43725663,38.13678245,36.88100478
CH4EM,CATT,IEF,CH4,kg/head/year,BE,5.130782913,5.014591739,5.000879076,4.929768801,4.900827897,4.892240473,4.977441201,5.035618559,5.126315576,5.13020692,5.104041628,5.111368391,5.189126665,5.241995167,5.24775276,5.217219532,5.120383615,5.263577571,5.260923719,5.309340304,5.364476931,5.411975462,5.477597971,5.477597971
CH4EM,CATT,IEF,CH4,kg/head/year,DK,15.04646498,15.63979756,16.12325412,16.47972523,16.85583492,17.29752729,17.67247999,18.42221292,18.81825263,18.27531378,19.61643789,19.69749522,21.20223887,22.20222444,23.44973574,24.33970387,24.55193468,23.57847608,23.75487239,24.1842705,23.97600069,23.87624301,23.73423286,22.84157051
CH4EM,CATT,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,CATT,AD,-999,1000s,BE,3248.78,3264.166,3221.568,3231.577,3251.968,3286.233,3242.6,3157.095,3089.91,3085.17,2993.819,2977.245,2849.778,2739.01,2701.38,2664.101,2629.431,2660.163,2634.888,2631.029,2627.441,2569.688,2501.737,2501.737
CH4EM,CATT,AD,-999,1000s,DK,2239.097,2221.511,2189.804,2195.493,2104.904,2090.373,2093.255,2004.211,1977.367,1887.057,1867.925,1906.911,1796.118,1724.409,1645.764,1570.085,1534.763,1566.218,1564.393,1540.34,1571.05,1567.971,1606.826,1614.644
CH4EM,DAIRCOOL,ALLOCCLIMA,-999,%,BE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CH4EM,DAIRCOOL,ALLOCCLIMA,-999,%,DK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CH4EM,DAIR,B0,-999,m^3/kgVS,BE,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
CH4EM,DAIR,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,DAIR,EM,CH4,kt,BE,10.68766454,10.16565786,9.900255432,9.185441027,9.209214246,9.232674855,9.254323878,9.076303173,9.174780625,9.123907559,8.757459664,8.682063665,8.492100888,8.301199588,8.159012636,7.920797505,7.788715691,7.850836917,7.798024748,7.919993513,8.042897434,7.988144076,7.944754869,7.944754869
CH4EM,DAIR,EM,CH4,kt,DK,19.7310939,19.874887,19.4888449,19.96080473,19.91718645,20.36571604,20.71551991,20.76232732,21.66789188,19.46969736,21.38361156,21.36554259,21.88995027,22.51625691,22.24227519,22.81600237,22.06166113,20.75100874,21.05346334,21.67449873,21.95518894,21.35256847,22.75580489,22.96945428
CH4EM,DAIR,IEF,CH4,kg/head/year,BE,12.74317726,12.76757467,12.89419793,13.19258239,13.37720285,13.48891228,14.27037494,14.47911107,14.45997309,14.63816158,15.06111781,15.21046996,15.41195028,15.59528635,15.84078417,16.00990888,16.26512586,16.56672178,16.59419003,16.91988155,17.32222031,17.53886029,17.44777008,17.44777008
CH4EM,DAIR,IEF,CH4,kg/head/year,DK,26.19931072,26.79831105,27.37474141,27.95204196,28.47118236,28.99145738,29.56635659,30.97218384,32.38562202,30.41218343,33.64753093,34.2749152,35.90859326,37.7767995,39.47487317,40.43490625,40.09177369,38.04564657,37.73170867,38.48947083,38.63976005,37.78493399,38.7537997,39.44337377
CH4EM,DAIR,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,DAIR,MASS,-999,kg,BE,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
CH4EM,DAIR,VSEXC,-999,kgdm/head/day,BE,3.22364302,3.231243289,3.261875677,3.306775619,3.353784455,3.37819243,3.423118229,3.466791836,3.464110282,3.501727858,3.612763083,3.656033917,3.702195202,3.740936246,3.794729703,3.834930733,3.893274053,3.961713051,3.965947881,4.040059725,4.132354223,4.182928428,4.147964733,4.147964733
CH4EM,DAIRTEMP,ALLOCCLIMA,-999,%,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,DAIRTEMP,ALLOCCLIMA,-999,%,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,DAIRWARM,ALLOCCLIMA,-999,%,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,DAIRWARM,ALLOCCLIMA,-999,%,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,FARM,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,FARM,EM,CH4,kt,BE,70.47095069,68.28952577,69.62979057,71.83159867,71.54721333,73.34367072,73.50296473,73.9568091,75.68715064,76.57641831,73.31975906,70.91683096,69.21697084,67.38946192,66.03575096,65.3892651,65.1732348,66.61322785,66.90430907,67.52232864,68.95546554,68.48890995,68.70820851,68.70820851
CH4EM,FARM,EM,CH4,kt,DK,69.1547866,71.83781708,76.08752115,79.65082047,79.16796816,80.13639277,81.65090257,83.73522328,87.17185786,80.70393083,83.55670044,87.15865262,87.87468562,88.34244787,90.14286823,87.16049136,83.47464901,82.17420236,79.74752908,78.38982012,80.13624274,79.84900051,78.52144695,76.70498138
CH4EM,FARM,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,NDAICOOL,ALLOCCLIMA,-999,%,BE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CH4EM,NDAICOOL,ALLOCCLIMA,-999,%,DK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CH4EM,NDAI,B0,-999,m^3/kgVS,BE,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
CH4EM,NDAI,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,NDAI,EM,CH4,kt,BE,5.981120378,6.202802001,6.21041657,6.745486446,6.728121247,6.844367231,6.885526959,6.821623,6.665073137,6.703652925,6.523117139,6.53573232,6.295758121,6.056677594,6.017161714,5.978402269,5.674979717,6.151137385,6.063920027,6.049034798,6.051949197,5.918944326,5.758754647,5.758754647
CH4EM,NDAI,EM,CH4,kt,DK,13.95940071,14.86909531,15.81792146,16.22031666,15.56272789,15.79256797,16.27748718,16.15967446,15.54269986,15.01686144,15.25842318,16.19582772,16.19177261,15.76945873,16.3504557,15.39940158,15.61973979,16.17802492,16.10849274,15.5775005,15.71230694,16.08468816,15.38097756,13.9115505
CH4EM,NDAI,IEF,CH4,kg/head/year,BE,2.481707218,2.513334714,2.530978596,2.660606593,2.624541064,2.630659075,2.654301802,2.696037925,2.714438552,2.722987824,2.704042436,2.715923014,2.738750234,2.74465038,2.752191742,2.755839977,2.63882444,2.81352924,2.800934717,2.796671198,2.79777415,2.799569171,2.814101427,2.814101427
CH4EM,NDAI,IEF,CH4,kg/head/year,DK,9.394057738,10.04760931,10.70314523,10.94943422,11.07393179,11.37875061,11.68847501,12.11499768,11.88000062,12.04371406,12.3809936,12.61796569,13.64648484,13.97537054,15.10699864,15.31029566,15.86591534,15.8484718,16.00581543,15.9407585,15.66768538,16.03876916,15.08475816,13.47621485
CH4EM,NDAI,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,NDAI,MASS,-999,kg,BE,380.60421,381.5010022,381.5543494,390.6863202,387.7887442,388.4738789,387.1389388,392.469348,390.2459372,390.9374707,392.2460582,396.4116846,400.1091974,400.8945646,403.4235121,403.4472605,404.7420169,411.4284495,412.0537803,410.894456,410.0598881,409.4261881,411.8796246,411.8796246
CH4EM,NDAI,VSEXC,-999,kgdm/head/day,BE,1.368102281,1.320021426,1.324896857,1.391371535,1.370705612,1.373378661,1.369598322,1.396380038,1.402431892,1.411140804,1.413207203,1.428529261,1.435317331,1.434219905,1.45359954,1.457444863,1.424472591,1.474926172,1.473579764,1.468213102,1.46228485,1.462649775,1.476674537,1.476674537
CH4EM,NDAITEMP,ALLOCCLIMA,-999,%,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,NDAITEMP,ALLOCCLIMA,-999,%,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,NDAIWARM,ALLOCCLIMA,-999,%,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,NDAIWARM,ALLOCCLIMA,-999,%,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,OANIM,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,OANIM,EM,CH4,kt,BE,2.93775334,2.915156916,2.920563777,2.972142376,3.060501777,3.108005015,3.192739161,3.242738728,3.281884622,3.320742282,3.413129871,3.422989935,3.426037226,3.399491613,3.395470353,3.403702666,3.345564027,3.354069026,3.363639987,3.383746126,3.425548238,3.368139812,3.463972116,3.463972116
CH4EM,OANIM,EM,CH4,kt,DK,3.115744172,3.029962566,3.193486119,2.714071614,3.008035757,3.016964307,3.071174483,3.308612627,3.433083918,3.17392062,3.326168259,3.50085795,3.404437962,3.508125637,3.700465409,3.962628094,4.182932839,4.44632483,4.533690509,4.486134826,4.452390497,4.521978292,4.712384503,4.712130226
CH4EM,OANIM,IEF,CH4,kg/head/year,BE,0.107920131,0.106474838,0.106479938,0.102782071,0.097703204,0.092923954,0.088636664,0.085228985,0.084022964,0.083007029,0.092253797,0.09417793,0.096021521,0.102421529,0.102226983,0.105813461,0.109936218,0.109867512,0.111637277,0.108627034,0.104703614,0.103682507,0.1019181,0.1019181
CH4EM,OANIM,IEF,CH4,kg/head/year,DK,0.157934758,0.15731433,0.141669482,0.119797276,0.131339197,0.132936791,0.133331427,0.147467458,0.154275466,0.130421305,0.131630268,0.141234039,0.140391215,0.163499664,0.181596357,0.184763412,0.195458489,0.213267688,0.232579282,0.189591576,0.196279009,0.193956368,0.203326802,0.197924556
CH4EM,OANIM,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,OANIM,AD,-999,1000s,BE,27221.551,27378.834,27428.301,28916.934,31324.477,33446.758,36020.525,38047.37,39059.377,40005.555,36997.175,36345.98825,35679.88917,33191.182,33215.011,32167.01,30431.864,30528.306,30130.079,31150.129,32716.619,32485.131,33987.801,33987.801
CH4EM,OANIM,AD,-999,1000s,DK,19728.046,19260.563,22541.807,22655.537,22902.803,22694.728,23034.138,22436.222,22252.948,24335.906,25269.023,24787.636,24249.651,21456.47,20377.421,21447.039,21400.62,20848.563,19493.097,23662.1,22683.987,23314.41,23176.406,23807.709
CH4EM,Other Other ,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,Other Other ,EM,CH4,kt,BE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CH4EM,Other Other ,EM,CH4,kt,DK,1.623971999,1.521733325,1.646295375,1.120443215,1.344202714,1.373629684,1.435429842,1.664649306,1.775134545,1.470685111,1.613939308,1.737854642,1.606189775,1.647954189,1.780180896,2.039565951,2.281972741,2.501103314,2.53172185,2.598000556,2.635722267,2.811176963,3.006488969,3.073188719
CH4EM,Other Other ,IEF,CH4,kg/head/year,BE,80.82440897,47.34512227,64.7144475,48.40739665,60.61157075,61.93292664,36.02240594,38.60929326,29.45030996,31.31605731,25.91109902,30.29293266,31.68216453,33.00929212,34.4845423,35.78841887,38.46005923,37.97372218,31.2622118,28.15592753,30.53435115,32.1600283,30.87610961,30.87610961
CH4EM,Other Other ,IEF,CH4,kg/head/year,DK,0.488158642,0.47942697,0.492034381,0.430783953,0.464630406,0.471102772,0.480816266,0.507458253,0.519924347,0.465527187,0.493516107,0.514649074,0.460146265,0.480716039,0.503214136,0.563680097,0.604642166,0.641361166,0.653694412,0.686597336,0.700588058,0.736028889,0.749626549,0.730760915
CH4EM,Other Other ,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,Other Other ,AD,-999,1000s,BE,24.745,42.243,30.905,41.316,32.997,32.293,55.521,51.801,67.911,63.865,77.187,66.022,63.127,60.589,57.997,55.884,52.002,52.668,63.975,71.033,65.5,62.189,64.775,64.775
CH4EM,Other Other ,AD,-999,1000s,DK,3326.73,3174.067,3345.895,2600.94,2893.058,2915.775,2985.402,3280.367,3414.217,3159.182,3270.287,3376.776,3490.607,3428.124,3537.621,3618.304,3774.088,3899.68,3872.944,3783.878,3762.157,3819.384,4010.649,4205.464
CH4EM,OSHEP,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,OSHEP,EM,CH4,kt,BE,0.133215476,0.121704269,0.125374959,0.126315635,0.124664507,0.109153011,0.107771564,0.106999986,0.109194442,0.112011755,0.077394311,0.073775723,0.070740271,0.066286607,0.071242236,0.07271042,0.073343322,0.071963257,0.070059487,0.069281422,0.066161325,0.063016157,0.065783045,0.065783045
CH4EM,OSHEP,EM,CH4,kt,DK,0.422840551,0.489903512,0.471174018,0.406037551,0.367894077,0.371250261,0.432638621,0.441299564,0.464244528,0.486269486,0.513579882,0.545591511,0.540278473,0.55665459,0.571319496,0.580818564,0.587599012,0.569424282,0.540453274,0.531400409,0.51061286,0.430231884,0.400603119,0.392057475
CH4EM,OSHEP,IEF,CH4,kg/head/year,BE,0.693350315,0.695345681,0.692262443,0.695789067,0.695726827,0.692727111,0.693550876,0.691661186,0.690867945,0.699251848,0.624434708,0.613919035,0.620273879,0.606564728,0.612104544,0.612845323,0.613916044,0.611765994,0.635316133,0.632556854,0.63275942,0.640486209,0.619052976,0.619052976
CH4EM,OSHEP,IEF,CH4,kg/head/year,DK,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.84001319,1.773875259,1.773875259
CH4EM,OSHEP,-999,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,OSHEP,AD,-999,1000s,BE,192.133,175.027,181.109,181.543,179.186,157.57,155.391,154.7,158.054,160.188,123.943,120.1717469,114.0468315,109.282,116.389,118.644,119.468,117.632,110.275,109.526,104.56,98.388,106.264,106.264
CH4EM,OSHEP,AD,-999,1000s,DK,229.803,266.25,256.071,220.671,199.941,201.765,235.128,239.835,252.305,264.275,279.1175,296.515,293.6275,302.5275,310.4975,315.66,319.345,309.4675,293.7225,288.8025,277.505,233.82,225.835,221.0175
CH4EM,OSWIN,INFOEF,CH4,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4EM,OSWIN,EM,CH4,kt,BE,50.73119696,48.88420473,50.47317983,52.80221319,52.42471155,54.04947061,54.06260317,54.70914421,56.45621781,57.31610379,54.54865807,52.20226932,50.93233434,49.56580652,48.39286402,48.01365224,48.29063204,49.18522126,49.60866482,50.10027278,51.36890934,51.15066557,51.47494383,51.47494383
CH4EM,OSWIN,EM,CH4,kt,DK,31.92570728,33.5739687,37.11609465,40.34958991,40.31212399,40.58989419,41.15408237,43.06330931,46.06393768,42.55718192,43.07491756,45.55083285,45.84824631,45.991952,47.27835244,44.40164075,41.02271623,40.22941959,37.51142921,36.12028566,37.5057435,37.4595337,35.27167688,34.7197889
