categorysource,measuregas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4ALVST,EMGHG,GgCO2eq,IT,12278.49767,12537.29963,12152.73038,12024.23415,12128.09183,12347.56214,12426.5873,12457.81521,12374.67972,12512.13101,12246.02292,11423.06968,11107.40144,11134.00842,10907.60982,10914.38872,10699.09119,11098.7423,10995.60092,11006.94229,10731.96998,10753.37307,10667.4849
4ALVST,EMGHG,GgCO2eq,LT,3226.545677,3041.619045,2371.996938,1974.401279,1693.078647,1592.086061,1592.441378,1641.56536,1440.313397,1355.202784,1193.923797,1221.378087,1259.788435,1302.535966,1284.907887,1289.778602,1331.925107,1362.847731,1332.06623,1264.284706,1225.680067,1200.810592,1185.101491
4ALVST,EMGHG,GgCO2eq,LU,261.3753615,260.6732698,250.0879123,252.0300557,249.8363425,256.9149759,260.1140825,254.8633985,252.1930315,251.9207509,248.7321196,249.9714515,242.8482519,235.6328531,233.2275227,232.8377722,230.64551,239.0254488,244.2099576,246.2649149,251.0989618,244.2985117,239.3407533
4ALVST,EMGHG,GgCO2eq,LV,2148.742536,2054.647788,1691.244501,1054.03375,893.8030235,872.0518926,830.788278,817.6095413,755.3356127,653.3306794,644.8423919,678.5516372,674.0317738,670.9636882,648.857698,670.3594532,662.0239133,692.5835781,667.960514,662.5100733,666.4273862,668.3611733,687.5803781
4ALVST,EMGHG,GgCO2eq,MT,33.70433934,33.45051234,33.88576884,34.00485984,33.77862684,35.75571384,35.31984834,35.67274284,35.02164834,34.88836134,37.66969584,36.11237112,36.38573022,35.06939562,36.82197162,36.49567152,35.17265052,35.96800242,33.70828692,31.81896942,29.57894184,28.774893,29.235822
4ALVST,EMGHG,GgCO2eq,NL,7647.608424,7800.348516,7741.679887,7597.858621,7388.439641,7381.080159,7137.895762,6961.461589,6835.841891,6782.715976,6575.50306,6656.008697,6325.800001,6347.833849,6369.560958,6330.011352,6359.343954,6435.010805,6554.524491,6588.937514,6629.721811,6541.754895,6554.505397
4ALVST,EMGHG,GgCO2eq,PL,16303.86766,14554.82113,13308.50283,12261.32322,12102.91741,11446.36993,11099.72254,11347.27971,11035.19791,10445.19813,9717.917001,9342.690756,9067.859162,9017.412952,8761.535126,8945.481467,9164.339778,9301.375475,9303.811825,9200.469309,9227.178255,9268.817105,9323.899944
4ALVST,EMGHG,GgCO2eq,PT,2889.11088,2930.069877,2919.767671,2820.925866,2946.855466,3079.210763,3113.603952,3048.39069,3139.201183,3222.790721,3246.693652,3167.863242,3107.437055,3025.94932,3107.307736,3132.801231,3111.615677,3067.041291,3069.176198,2977.053414,2928.446588,2875.290803,2858.518709
4ALVST,EMGHG,GgCO2eq,RO,15934.21262,14129.688,12218.66365,11829.73305,11351.02521,11166.2111,10762.23398,10083.92172,9719.85403,9411.524252,8886.640206,8576.1455,8800.702497,8921.086536,8752.730675,8946.306967,9051.286077,9275.839481,9196.125494,9005.482006,7895.165235,7875.605573,8008.925556
4ALVST,EMGHG,GgCO2eq,SE,2950.606917,2879.33615,2945.572304,3030.603517,3058.038835,2973.575595,2938.587566,2948.028347,2862.502641,2838.801482,2763.800371,2734.777523,2716.211641,2666.391946,2706.516044,2679.68172,2685.146205,2631.398626,2614.339511,2597.332923,2588.615041,2577.731847,2539.831053
4ALVST,EMGHG,GgCO2eq,SI,652.089682,620.3177337,631.4158052,605.1325801,612.3900613,643.5975439,635.6116213,604.2959896,620.3163588,647.6459096,692.1548112,678.1369586,691.3207096,657.3888178,648.9017207,660.1663842,661.917215,692.5665701,677.9620168,672.8374675,667.0740362,654.1104286,649.0685457
4ALVST,EMGHG,GgCO2eq,SK,2013.930655,1845.757114,1627.364333,1404.253703,1325.954991,1421.882973,1332.753692,1194.550566,1124.118829,1079.840925,1067.210657,1092.824439,1057.947988,1013.450299,945.5016242,956.1421773,940.6591526,934.7947784,906.1125911,865.2617054,857.0811408,857.3215006,882.5561821
4ALVST,EMCH4,Gg,AT,178.730758,176.113212,168.7740722,168.6978423,168.9035295,172.0774495,169.3164502,166.3218603,165.0713152,163.6546679,162.7086565,160.4799366,157.1970703,155.7052138,155.6927777,153.7440799,153.2338424,153.8441127,153.5232245,155.4926943,155.0589795,153.0791268,152.0348803
4ALVST,EMCH4,Gg,BE,201.5454946,200.45955,198.4830116,200.7193419,200.4588723,202.6032486,198.8300466,196.7079505,195.0211643,195.5338733,189.5584871,189.7462708,183.3724952,177.2229052,176.0335136,173.5102435,171.8857576,175.5228275,173.8622628,174.4755375,175.1827965,172.3134701,169.588789
4ALVST,EMCH4,Gg,BG,181.4555649,174.5332331,162.522174,136.9043952,108.9880218,91.92684956,87.39724579,84.78817297,82.70219348,85.62842378,83.23422069,71.69151549,74.01440429,76.77322662,75.54545957,73.36262582,71.3807612,67.29665598,66.04401864,62.79538187,61.25724555,62.36050724,60.6022713
4ALVST,EMCH4,Gg,CY,7.686238532,7.799316192,7.845047845,8.150470635,8.273179069,8.589118159,8.749971944,8.577235995,8.277390699,8.252558977,8.494026377,9.207374051,9.729078499,9.321902776,9.26174606,8.674747044,8.341078943,8.490785111,8.536370912,8.517044006,8.920660063,9.140829269,9.211099094
4ALVST,EMCH4,Gg,CZ,200.9245877,189.525804,169.8952755,147.0567617,128.788052,125.3283895,124.1967972,115.9855139,108.7637915,111.1286436,106.7140465,107.4685577,105.2132515,104.0919576,101.8399016,99.72282345,98.29662384,99.21740833,100.1404067,97.48178273,95.17943318,95.37630739,96.51831056
